"player_name","player_id","yellow_cards","red_cards","goals","assists","total_minutes_played","market_value_eur"
"Abdullahi Shehu",262687,255,0,34,0,74120,850000
"Abdulrahman Taiwo",350398,55,0,55,22,12760,450000
"Abdulsamed Damlu",341649,18,0,0,0,33840,8e+05
"Abdurrahim Dursun",366194,0,0,0,0,4298,5e+05
"Abdurrahman Canli",319679,22,0,11,0,2046,350000
"Abdurrahman Dereli",7937,21,0,0,0,3675,3500000
"Abdón Prats",177452,57,0,76,0,24586,2e+06
"Abdülkadir Kayali",57255,390,0,26,26,84760,1500000
"Abdülkadir Ömür",271495,120,0,400,500,185720,1.5e+07
"Abdülkerim Bardakci",199316,572,0,208,182,187200,5e+06
"Abel Aguilar",37388,290,0,29,29,69919,4200000
"Abel Camará",158380,440,44,286,88,135542,1e+06
"Abel Gómez",29065,50,0,0,0,33700,2e+06
"Abel Hernández",76608,58,0,348,145,106923,8e+06
"Abel Ruiz",340376,64,0,176,96,62208,7e+06
"Abel Tamata",123513,13,0,0,0,30888,6e+05
"Abiola Dauda",69651,330,30,1290,360,268410,1250000
"Ablaye Faye",256139,0,0,0,0,1092,250000
"Ablaye Mbengue",354040,165,0,345,45,68235,1500000
"Ablie Jallow",366045,24,0,60,12,24024,1e+06
"Abner",273455,78,13,0,26,23205,5e+05
"Abou Ba",427653,44,0,0,0,8712,6e+05
"Abou Diaby",26763,23,0,0,0,7636,9e+06
"Abou Kanté",315095,0,0,0,0,768,1200000
"Abou Ouattara",443263,20,0,10,0,2900,8e+05
"Aboubakar Kamara",290951,342,57,304,95,101061,4e+06
"Aboubakar Keita",294807,19,0,19,38,9367,650000
"Aboubakar Oumarou",97166,28,0,0,28,29120,2e+06
"Aboubakary Koita",422377,187,0,221,102,87584,1500000
"Abraham González",65243,135,0,54,54,77814,1500000
"Abraham Minero",95483,174,0,29,58,38251,2e+06
"Abraham Okyere",733431,0,0,0,0,290,50000
"Abu Francis",658533,72,18,54,36,23913,1500000
"Abubakar Inalkaev",866756,0,0,0,0,177,50000
"Abubakar Kadyrov",488849,10,0,10,0,1080,75000
"Abud Omar",272920,36,0,0,0,8484,5e+05
"Abuda",228206,60,0,0,0,25644,1500000
"Abukar Mohamed",363714,6,0,0,0,270,1e+05
"Accioly",56054,22,0,11,0,10978,2e+05
"Accursio Bentivegna",244927,21,0,0,0,3801,8e+05
"Achille Vaarnold",241502,0,0,0,0,581,250000
"Achilleas Poungouras",255688,374,0,17,17,139009,8e+05
"Achraf El Bouchataoui",361122,0,0,0,0,3696,3e+05
"Achraf Hakimi",398073,528,22,550,770,302368,7e+07
"Achraf Lazaar",139173,168,0,112,140,166824,3e+06
"Adalberto Peñaranda",308801,252,0,108,72,63774,4e+06
"Adam Armstrong",250426,36,0,72,108,43902,1.8e+07
"Adam Bareiro",514120,55,0,55,33,21153,3500000
"Adam Barton",106252,54,0,18,18,49779,350000
"Adam Bodzek",20778,476,34,0,68,125086,1750000
"Adam Brown",331074,0,0,0,0,1414,1e+05
"Adam Campbell",204354,0,0,0,0,110,250000
"Adam Clayton",73067,242,0,0,44,71676,3500000
"Adam Collin",3564,0,0,0,5,1800,250000
"Adam Drury",186292,0,0,3,1,905,50000
"Adam Dzwigala",236966,96,0,0,24,31512,5e+05
"Adam Eckersley",37138,0,0,0,0,1350,5e+05
"Adam Federici",4233,22,0,0,0,33990,2e+06
"Adam Forshaw",121257,189,0,0,42,93891,5e+06
"Adam Frizzell",356621,24,0,24,0,14736,2e+05
"Adam Hammill",38091,34,0,68,68,15487,1500000
"Adam Hlousek",62800,266,0,0,0,78850,1500000
"Adam Hutchinson",652634,0,0,0,0,180,50000
"Adam Idah",434223,0,0,50,10,12410,3e+06
"Adam Jackson",134419,0,0,28,7,8421,350000
"Adam Jakobsen",503602,56,0,42,0,14980,350000
"Adam Jakubech",258267,19,0,0,0,44460,1200000
"Adam Johnson",31579,110,0,154,176,79134,1.5e+07
"Adam King",169566,0,0,0,0,1080,150000
"Adam Kokoszka",33430,125,0,0,50,50750,9e+05
"Adam Kolberg",376782,0,0,0,0,70,25000
"Adam Kwarasey",11757,22,0,0,0,12540,1400000
"Adam Lallana",43530,620,0,775,713,435209,2.5e+07
"Adam Legzdins",43858,40,0,0,0,43200,5e+05
"Adam Lewis",347481,0,0,0,0,180,5e+05
"Adam Livingstone",443544,2,0,0,0,426,25000
"Adam Mackinnon",780506,0,0,0,0,542,50000
"Adam Maher",122421,1110,0,900,1080,550020,9e+06
"Adam Marusic",239802,798,63,441,378,423045,1e+07
"Adam Masina",286949,736,69,92,230,295182,7e+06
"Adam Matthews",108878,42,0,14,112,43666,3e+06
"Adam Matuszczyk",52830,0,0,0,0,16832,3e+06
"Adam Montgomery",757272,16,0,0,8,4432,5e+05
"Adam Morgan",175737,0,0,0,0,346,2e+05
"Adam Nemec",55210,37,0,0,0,20572,1500000
"Adam Obert",568333,4,0,0,0,1812,1400000
"Adam Ounas",400485,323,38,399,266,130397,1e+07
"Adam Reach",163530,0,0,0,0,1800,4500000
"Adam Rooney",37773,120,0,1080,240,171705,750000
"Adam Sarota",109305,0,0,0,0,195,8e+05
"Adam Smith",61841,640,20,100,260,246780,9e+06
"Adam Stachowiak",35069,58,0,0,0,67860,850000
"Adam Stahl",223920,0,0,0,13,6474,5e+05
"Adam Sörensen",400537,0,0,0,0,781,4e+05
"Adam Taggart",171721,0,0,0,0,6205,2250000
"Adam Tzanetopoulos",281919,340,0,68,0,140641,1e+06
"Adam Webster",212847,247,0,133,19,137560,2.2e+07
"Adam Zrelak",261155,96,0,72,48,26472,1e+06
"Adam Örn Arnarson",198178,0,0,0,0,21405,3e+05
"Adama Ba",197857,21,0,0,0,4704,8e+05
"Adama Diakhaby",453594,140,20,120,60,48200,9e+06
"Adama Diomande",93145,23,0,92,0,41239,2500000
"Adama Fofana",648579,0,0,0,0,1071,2e+05
"Adama François",91384,108,0,0,12,30396,9e+05
"Adama Guira",95431,510,0,51,85,164288,5e+05
"Adama Mbengue",230066,60,12,0,0,28008,3e+06
"Adama Niane",253842,160,0,200,80,72740,3e+06
"Adama Soumaoro",126673,812,84,112,84,370832,1e+07
"Adama Tamboura",44423,54,0,0,0,32598,1300000
"Adama Traoré",70209,180,20,0,20,73280,1500000
"Adama Traoré",204103,275,0,325,600,299475,4e+07
"Adama Traoré",262608,330,0,220,352,162294,1e+07
"Adamo Coulibaly",53399,88,0,88,44,54076,750000
"Adamo Nagalo",800976,25,0,5,0,7565,1500000
"Aday Benítez",132921,228,0,38,57,47310,2e+06
"Ade Runsewe",48897,22,0,11,33,15378,350000
"Adebayo Azeez",244220,10,0,4,2,3746,150000
"Adel Taarabt",45287,1036,111,148,555,312946,1e+07
"Adem Büyük",54148,1961,74,1998,851,544418,5750000
"Adem Dogan",576035,0,0,0,0,84,150000
"Adem Güven",49385,0,0,0,0,810,5e+05
"Adem Kocak",6994,363,0,0,132,144342,2500000
"Adem Ljajic",69374,1178,0,1862,1900,569088,1.5e+07
"Adem Zorgane",592403,20,0,20,60,24090,4e+06
"Ademola Lookman",406040,162,0,414,234,139068,2e+07
"Aderinsola Habib Eseola",122361,144,0,32,16,22128,3200000
"Aderlan",101506,105,0,45,30,45405,1e+06
"Aderllan Santos",159142,672,0,144,0,302496,7500000
"Adessoye Oyewole",59180,414,0,138,184,158470,4e+05
"Adewale Oladoye",853239,0,0,4,0,564,250000
"Adi Gotlieb",200248,0,0,0,0,3808,5e+05
"Adi Mehremic",192897,210,0,42,63,55083,5e+05
"Adil Aouchiche",569385,36,0,18,81,25803,1e+07
"Adil Auassar",56381,1189,87,493,551,520637,850000
"Adil Demirbag",354173,220,0,0,0,57460,2700000
"Adil Nabi",181554,39,0,117,65,41821,5e+05
"Adil Rami",51118,1935,0,430,215,771205,1.4e+07
"Adil Rhaili",262953,0,11,0,0,1111,5e+05
"Adil Taoui",463617,0,0,0,0,184,4e+05
"Adilson",52408,230,0,46,23,97428,4e+06
"Adilson Goiano",148682,100,0,25,15,19540,1e+06
"Adis Jahovic",98536,756,112,1680,280,339556,1750000
"Adlan Katsaev",51260,104,0,52,78,69212,850000
"Adlène Guédioura",74768,144,0,24,96,50088,3e+06
"Admir Bajrovic",222556,38,0,209,57,42161,450000
"Admir Mehmedi",66058,544,0,1156,884,427856,1e+07
"Adnan Aganovic",50806,224,56,56,84,84924,8e+05
"Adnan Alisic",37912,0,0,0,0,2110,4e+05
"Adnan Januzaj",177847,648,0,600,624,299760,1.5e+07
"Adnan Maric",256652,0,0,0,0,96,250000
"Adnan Secerovic",78497,260,0,0,20,59000,450000
"Adnan Ugur",409515,45,0,9,0,13194,5e+05
"Adnane Tighadouini",185570,162,0,504,72,128196,1400000
"Adolfo Gaich",608469,52,0,39,13,15912,1.2e+07
"Adolphe Teikeu",105362,162,0,0,27,76707,9e+05
"Adrian Beck",273669,0,0,0,26,3627,650000
"Adrian Fein",379979,17,0,17,51,9622,5500000
"Adrian Grbic",167342,40,20,100,0,46840,9e+06
"Adrian Kappenberger",503625,0,0,0,0,6240,2e+05
"Adrian Mariappa",38145,576,0,32,32,284672,4e+06
"Adrian Nilsen Pereira",507310,16,0,0,0,5656,1e+06
"Adrian Petre",365769,90,0,270,72,54216,1500000
"Adrian Semper",317057,0,0,0,0,13020,2300000
"Adrian Stanilewicz",389078,0,0,0,0,50,3e+05
"Adrian Stoian",96853,208,0,130,156,103376,2e+06
"Adriano",34495,1008,0,252,684,429228,2e+07
"Adriano Castanheira",243779,24,0,24,36,21804,6e+05
"Adriano Facchini",103370,126,0,0,0,143493,1200000
"Adriano Russo",44281,30,0,15,0,15045,5e+05
"Adrien Bongiovanni",338628,45,0,9,0,7362,1e+06
"Adrien Hunou",203507,132,0,550,66,122012,6e+06
"Adrien Lebeau",395674,0,0,0,0,60,250000
"Adrien Rabiot",182913,1107,0,594,486,526095,5e+07
"Adrien Regattin",126796,456,0,312,384,275472,3e+06
"Adrien Silva",56810,2368,37,925,629,532615,2.5e+07
"Adrien Tamèze",157507,396,0,126,108,189576,1e+07
"Adrien Thomasson",215977,800,40,760,660,372940,9e+06
"Adrien Truffert",654539,56,0,32,56,30976,1.5e+07
"Adrien Trébel",159622,980,28,280,644,371896,8500000
"Adrià Pedrosa",501418,210,0,75,90,72495,1e+07
"Adrián",71271,216,54,0,0,362178,9e+06
"Adrián Bernabé",466802,0,0,0,0,245,6e+06
"Adrián Butzke",596884,24,0,40,8,5688,3e+05
"Adrián Colombino",203716,60,0,0,0,22760,1e+06
"Adrián Colunga",57866,0,24,24,48,10824,5e+06
"Adrián Dalmau",288228,234,0,522,90,80928,4e+06
"Adrián Diéguez",355335,195,0,0,0,27030,8e+05
"Adrián Embarba",288318,540,0,351,486,237762,8e+06
"Adrián González",44073,936,36,648,108,317916,3e+06
"Adrián Guerrero",282724,12,0,0,0,1524,3e+06
"Adrián Gunino",76699,68,0,0,0,36142,2e+06
"Adrián Jusino",563095,20,0,0,0,3460,6e+05
"Adrián Lapeña",289267,0,0,0,0,2624,6e+05
"Adrián Lucero",55879,598,0,260,416,341016,2300000
"Adrián López",44966,147,0,0,0,14574,1400000
"Adrián López",45383,114,0,836,608,288800,1.5e+07
"Adrián Marín",295414,380,19,76,95,149188,1500000
"Adrián Ortolá",142033,0,0,0,0,19440,1500000
"Adrián Ramos",73782,264,0,825,330,149919,1.3e+07
"Adrián Riera",381206,84,0,108,132,45252,6e+05
"Adrián Sardinero",125870,42,0,105,42,39375,750000
"Adrián Spörle",440371,12,0,48,48,24696,1250000
"Adrián Szőke",404705,13,13,39,13,13845,5e+05
"Adryan",174835,58,29,87,58,44138,3e+06
"Afimico Pululu",410649,0,0,0,17,1479,3e+06
"Afonso Figueiredo",237000,280,20,20,80,162420,1e+06
"Afonso Sousa",375378,117,0,27,18,38385,2500000
"Afonso Taira",118317,420,20,20,40,130300,1e+06
"Afriyie Acquah",145581,1624,0,348,232,366067,3e+06
"Ager Aketxe",158057,69,0,23,23,26450,2500000
"Agil Etemadi",55756,0,0,0,0,10368,250000
"Agim Zeka",342824,0,0,11,0,1760,3e+05
"Agon Mehmeti",72687,0,0,0,0,1472,1700000
"Agron Rufati",460591,27,0,0,9,4599,3e+05
"Aguibou Camara",543529,20,0,30,25,12960,5e+06
"Agus García",18646,180,30,30,30,35340,1200000
"Agustín Marchesín",54534,270,0,0,27,207576,9e+06
"Agustín Rogel",456535,91,0,0,0,29887,4500000
"Agustín Vuletich",182991,57,0,38,0,8436,750000
"Ahmad Benali",121402,225,25,200,100,117850,3e+06
"Ahmad Mendes Moreira",332973,24,0,36,48,16248,5e+05
"Ahmad Ngouyamsa",723416,8,0,0,0,1256,1e+06
"Ahmed Daghim",558244,0,0,0,0,276,3e+05
"Ahmed El Messaoudi",303939,720,0,360,288,285408,1500000
"Ahmed Elmohamady",66333,297,27,135,297,247941,5500000
"Ahmed Hassan",184816,624,0,1896,480,332328,5e+06
"Ahmed Hassan",333271,14,0,14,0,3528,2e+05
"Ahmed Hegazy",111524,150,0,60,0,111300,8e+06
"Ahmed Ildiz",226169,90,0,54,72,67500,1100000
"Ahmed Isaiah",352840,0,0,0,0,1482,3e+05
"Ahmed Januzi",59150,175,0,50,50,24125,1400000
"Ahmed Kantari",33447,138,0,23,0,63618,2500000
"Ahmed Kashi",73120,40,0,20,0,27120,1e+06
"Ahmed Kutucu",452084,65,0,78,78,22893,6e+06
"Ahmed Mostafa",469986,12,0,0,0,96,4e+05
"Ahmed Musa",168337,279,0,1333,713,360530,1.8e+07
"Ahmed Touba",325924,180,0,45,30,85020,3e+06
"Ahmed Yasin",114791,0,0,22,44,21648,9e+05
"Ahmed Yasser Rayan",518943,52,0,65,13,10829,1400000
"Ahmet Aras",44970,0,0,36,0,4554,8e+05
"Ahmet Arslan",209686,0,0,0,0,22,350000
"Ahmet Bahcivan",252091,0,0,0,0,2054,250000
"Ahmet Calik",182395,529,46,115,69,263603,5e+06
"Ahmet Can Arik",434282,0,0,0,0,4,50000
"Ahmet Canbaz",288313,0,0,0,0,1968,2e+05
"Ahmet Cebe",1896,325,25,0,25,84950,1050000
"Ahmet Dereli",183614,26,0,78,26,20254,5e+05
"Ahmet Engin",193612,20,0,40,0,15880,1100000
"Ahmet Gülay",655898,0,0,0,0,3465,4e+05
"Ahmet Gürleyen",397696,0,0,0,0,180,6e+05
"Ahmet Ilhan Özek",157588,400,25,250,250,161050,3e+06
"Ahmet Karadayi",435869,0,0,0,0,1580,1e+05
"Ahmet Karademir",727085,0,0,0,0,240,225000
"Ahmet Oguz",291758,1012,22,66,176,281314,1600000
"Ahmet Sahbaz",247645,0,0,0,0,837,4e+05
"Ahmet Sahin",7215,0,0,0,0,136944,5e+05
"Ahmet Taner Cukadar",387966,0,0,0,0,336,1e+05
"Ahmetcan Kaplan",662131,0,0,0,10,8830,5e+06
"Ahmethan Köse",251089,0,0,0,0,2880,3e+05
"Aias Aosman",124673,182,0,156,182,57824,1e+06
"Aidan Connolly",252233,22,0,11,99,12309,325000
"Aidan Keena",401323,0,0,4,0,1492,2e+05
"Aidan Nesbitt",244263,6,0,0,0,1932,250000
"Aidan Wilson",297277,4,0,0,0,1080,175000
"Aiden McGeady",21333,93,0,31,186,49073,9e+06
"Aiden O'Neill",385918,18,0,0,0,4455,6e+05
"Aidi Fulangxisi",218195,0,0,0,0,1496,2e+05
"Aidy White",91347,36,0,0,18,17694,1e+06
"Aihen Muñoz",517842,195,0,13,26,76609,7500000
"Aimar Oroz",634131,0,0,0,0,100,6e+06
"Aimar Sher",579294,0,0,0,0,1155,1200000
"Aimen Moueffek",484992,24,0,0,0,6948,2e+06
"Ainsley Maitland-Niles",285845,221,0,68,136,169677,1.8e+07
"Aitor Buñuel",374081,54,0,0,0,24966,1e+06
"Aitor Cantalapiedra",323740,112,0,256,288,78720,2500000
"Aitor Fernández",58883,21,0,0,0,13440,5e+05
"Aitor Fernández",118997,100,25,0,0,233375,1e+07
"Aitor Ruibal",378139,240,0,45,75,76530,5e+06
"Ajdin Hasic",522851,0,0,20,0,2280,825000
"Ajdin Hrustic",265625,340,0,153,85,97818,3e+06
"Ajdin Mahmutovic",28436,24,0,0,0,5760,1500000
"Aji Alese",502065,0,0,0,0,270,1e+06
"Akaki Gogia",92472,32,0,0,64,8800,1300000
"Akaki Khubutia",77640,23,0,0,0,6256,8e+05
"Akeem Latifu",141329,26,0,0,0,7085,4e+05
"Akhmed Alibekov",343175,0,0,13,0,3666,3e+05
"Akim Zedadka",327863,65,0,0,39,43394,4e+06
"Akin Alkan",252056,0,0,0,0,4725,4e+05
"Akin Famewo",425713,8,0,0,0,5524,250000
"Akinkunmi Amoo",666580,7,0,7,7,3199,4e+06
"Akmal Bakhtiyarov",413688,0,0,0,0,1023,250000
"Akram Afif",336646,105,0,15,45,21540,5500000
"Aksel Aktas",371147,22,0,0,22,7359,7e+05
"Al Musrati",377641,465,0,105,90,123570,1.4e+07
"Alaa Abbas",560958,0,0,5,0,550,3e+05
"Alaaddin Okumus",216608,0,0,0,0,1648,4e+05
"Alaattin Öner",820647,0,0,0,0,3,50000
"Alaeddine Yahia",5451,364,52,104,0,158548,2600000
"Alain Baroja",147559,57,0,0,0,46170,6e+05
"Alain Oyarzun",229812,17,0,0,0,2567,6e+05
"Alain Traoré",43242,0,0,0,28,9800,6500000
"Alaixys Romao",40014,1984,62,279,248,482825,4e+06
"Alan",14127,126,0,126,180,70416,4200000
"Alan",59154,11,0,0,0,1837,750000
"Alan Aussi",247213,7,0,0,0,1260,250000
"Alan Bagaev",192908,18,0,0,0,1620,250000
"Alan Chochiev",104511,96,0,48,48,67584,1e+06
"Alan Dzagoev",69683,918,0,1020,1122,440096,2.5e+07
"Alan Empereur",169179,66,0,22,0,21428,1e+06
"Alan Forrest",276764,45,0,81,36,37908,7e+05
"Alan Gow",11378,0,0,0,5,2200,6e+05
"Alan Henrique",138139,0,0,0,13,9360,250000
"Alan Hutton",9619,532,0,28,56,151368,9e+06
"Alan Kasaev",36212,189,0,270,270,138807,6500000
"Alan Lithgow",45299,70,0,56,28,52038,3e+05
"Alan Mannus",62855,32,16,0,0,166352,5e+05
"Alan Martin",37700,0,0,0,0,2970,2e+05
"Alan Patrick",104505,630,30,480,750,244230,8e+06
"Alan Power",60781,598,13,26,130,173654,450000
"Alan Pulido",143045,0,0,182,78,36556,9e+06
"Alan Ruiz",190442,247,0,152,95,43757,7e+06
"Alan Schons",378866,168,0,12,12,34932,5e+05
"Alanzinho",36478,18,0,18,36,12762,5e+06
"Alassana Jatta",631704,0,0,0,0,3348,4e+05
"Alassane Diallo",261912,8,0,0,0,920,4e+05
"Alassane N'Diaye",123136,65,0,0,0,12116,6e+05
"Alassane Ndao",569777,80,0,112,72,32288,4500000
"Alassane Plea",167329,960,0,2640,1470,586410,3.8e+07
"Alassane També",111061,30,0,0,10,15090,6e+05
"Alassane Touré",77740,100,0,20,0,19040,9e+05
"Alassane Traoré",336704,11,0,0,0,7062,1e+06
"Alban Lafont",357117,399,0,0,0,450450,1.8e+07
"Alban Meha",28252,216,0,189,135,112050,1800000
"Albano Bizzarri",7797,130,26,0,0,295620,3500000
"Alberk Koc",374882,0,0,0,14,7406,3e+05
"Albert Adomah",83430,0,0,0,0,5148,5e+06
"Albert Grönbaek",503866,42,0,30,42,19524,2300000
