"player_name","player_id","yellow_cards","red_cards","goals","assists","total_minutes_played","market_value_eur"
"Cameron Humphreys",277723,96,0,0,12,54324,1e+06
"Cameron Jerome",35855,341,31,341,186,171585,5500000
"Cameron McGeehan",167265,90,0,27,0,17964,650000
"Cameron Puertas",449592,28,0,0,0,1442,2e+06
"Camil Mmaee",808767,0,0,0,0,3,1e+05
"Camillo Ciano",61511,351,0,189,135,67311,3e+06
"Camilo Zúñiga",37941,25,0,25,75,45875,1.3e+07
"Cammy Ballantyne",291352,0,0,0,1,7,50000
"Cammy Ballantyne",450724,4,0,0,0,116,1e+05
"Cammy Bell",12753,0,0,0,0,8384,7e+05
"Cammy Devlin",399162,77,0,7,14,14896,7e+05
"Cammy Kerr",270596,273,0,13,52,149084,450000
"Cammy MacPherson",399257,117,0,36,45,46125,475000
"Cammy Mackay",280528,0,0,0,0,1070,150000
"Cammy Smith",158938,64,0,48,32,37856,4e+05
"Can Arat",7445,46,0,0,0,2300,1300000
"Can Bozdogan",406609,60,0,10,30,22460,4300000
"Can Demir Aktav",226271,0,0,0,0,13,4e+05
"Canberk Dilaver",269510,0,0,0,0,4047,5e+05
"Caner Cavlan",136550,276,0,115,368,211508,1e+06
"Caner Erkin",39333,3150,135,405,2340,803160,1.3e+07
"Caner Koca",348255,0,0,0,0,12,2e+05
"Caner Osmanpasa",157993,1023,0,155,93,715046,1500000
"Cani",7983,140,0,56,112,52192,1.5e+07
"Caoimhín Kelleher",340918,22,0,0,0,17160,8e+06
"Capela",192599,0,0,20,0,4020,5e+05
"Capita",666545,5,0,0,0,240,250000
"Carel Eiting",315128,76,0,0,133,35036,5e+06
"Carl Björk",407398,8,0,0,0,1424,6e+05
"Carl Hoefkens",13061,140,0,20,0,26100,2500000
"Carl Jenkinson",126321,175,25,50,50,143400,9e+06
"Carl McHugh",148957,372,12,48,36,75096,4e+05
"Carl Medjani",8060,600,30,300,60,300510,4e+06
"Carl Starfelt",258987,190,0,57,76,136914,6e+06
"Carl Stewart",479945,0,0,0,0,2,50000
"Carl Tremarco",49560,266,14,84,42,87724,3e+05
"Carles Aleñá",284854,272,16,112,96,102384,3e+07
"Carles Gil",127987,264,0,120,240,111576,7e+06
"Carles Planas",66099,400,25,0,150,126725,2500000
"Carles Pérez",282810,68,0,136,170,57086,1e+07
"Carles Soria",376484,75,15,0,15,28620,8e+05
"Carlinhos",226155,504,21,231,126,153321,1500000
"Carlitos",33563,10,0,0,0,4750,4e+05
"Carlitos",228885,133,0,361,76,60040,3e+06
"Carlo Boukhalfa",329373,0,0,0,0,585,750000
"Carlo Costly",46845,16,0,0,0,536,1100000
"Carlo Holse",345577,12,0,84,72,28932,2500000
"Carlo Pignatiello",406734,0,0,4,0,1620,150000
"Carlo Pinsoglio",75411,0,0,0,0,5252,1e+06
"Carlo de Reuver",260650,0,0,32,0,1312,250000
"Carlos Abad",317818,38,0,0,0,39330,5e+05
"Carlos Akapo",225015,180,0,18,0,76806,1200000
"Carlos Ascues",189283,0,0,0,0,1666,550000
"Carlos Bacca",119235,840,0,2968,924,493836,2.5e+07
"Carlos Caballero",71002,21,0,21,0,9282,1e+06
"Carlos Calderón",324475,0,0,0,0,66,250000
"Carlos Carbonero",136605,190,0,57,76,47576,3e+06
"Carlos Carmona",71394,288,0,320,192,106528,2e+06
"Carlos Carmona",76387,456,24,0,0,85392,3e+06
"Carlos Castro",277093,34,0,187,17,36754,2e+06
"Carlos Clerc",193784,374,0,22,110,194678,3e+06
"Carlos Cuesta",474589,119,34,0,17,102731,8e+06
"Carlos Daniel",182713,0,0,0,0,6,3e+05
"Carlos Domínguez",636093,27,0,0,0,9009,1500000
"Carlos Eduardo",52406,84,0,105,189,73395,17500000
"Carlos Eduardo",110078,52,26,260,130,60398,6e+06
"Carlos Embalo",275682,80,0,40,40,22220,2e+06
"Carlos Fernández",216464,266,0,323,114,68457,1e+07
"Carlos Fortes",297467,0,0,0,0,1350,650000
"Carlos García",15762,80,0,0,0,16800,4e+06
"Carlos Gruezo",189475,408,0,24,24,113448,6e+06
"Carlos Gurpegui",7631,500,0,50,0,106200,4e+06
"Carlos Henriques",194507,0,0,0,0,8820,3e+05
"Carlos Isaac",396324,13,0,0,0,2002,3e+05
"Carlos Júnior",284000,168,0,322,154,78176,6e+06
"Carlos Kameni",7914,288,0,0,36,360972,1e+07
"Carlos Manuel",26139,14,0,0,0,1456,350000
"Carlos Mané",182711,176,0,374,440,182292,8e+06
"Carlos Martins",14511,264,22,110,286,74052,7500000
"Carlos Martínez",58074,120,0,0,210,91080,5e+06
"Carlos Neva",448844,108,0,0,72,138744,5e+06
"Carlos Olascuaga",94450,0,0,13,0,3497,350000
"Carlos Peña",147266,17,0,68,0,8245,4e+06
"Carlos Ramos",282000,0,0,0,0,50,3e+05
"Carlos Redruello",521329,0,0,0,0,1170,3e+05
"Carlos Salcedo",256866,342,0,0,19,78242,1e+07
"Carlos Santos",209015,91,7,14,0,19418,750000
"Carlos Selfa",252688,0,0,0,0,540,3e+05
"Carlos Soler",372246,720,18,648,522,302706,5e+07
"Carlos Strandberg",252689,57,0,152,38,28253,2800000
"Carlos Sánchez",51226,912,0,114,76,337896,6e+06
"Carlos Tevez",4276,384,0,928,320,129248,4e+07
"Carlos Valenzuela",441477,30,0,30,10,9140,1500000
"Carlos Vela",35773,722,0,988,380,319998,2e+07
"Carlos Vigaray",263627,400,0,40,60,114700,1e+06
"Carlos Vinícius",525287,342,0,893,380,122417,2e+07
"Carlos Zambrano",53533,1020,0,0,68,209780,8e+06
"Carlos de Pena",257740,247,0,247,209,69331,4e+06
"Carlton Cole",3179,66,0,88,0,24508,9e+06
"Carlton Morris",246963,100,0,80,30,23850,2800000
"Carlão",52893,96,0,0,0,46704,2e+06
"Carney Chukwuemeka",659459,0,0,0,6,2598,1.5e+07
"Carraça",291941,665,0,114,171,198911,1e+06
"Carsten Christensen",62451,0,0,0,0,5473,2e+05
"Cas Odenthal",406632,36,0,9,0,25299,650000
"Cas Peters",187295,66,0,110,44,50160,650000
"Casagrande",651204,0,0,0,0,9,2e+05
"Casemiro",16306,4134,0,1365,1131,1100619,8e+07
"Casimir Ninga",392810,408,17,374,187,135184,3e+06
"Casper De Norre",292806,272,0,85,170,172924,3e+06
"Casper Gedsted",514897,0,0,0,0,268,150000
"Casper Höjer",222977,378,0,168,294,183876,2500000
"Casper Nielsen",148365,475,0,400,475,293275,8e+06
"Casper Olesen",268174,0,0,0,12,4836,1e+05
"Casper Radza",148371,0,0,0,0,234,150000
"Casper Sloth",89208,144,0,0,168,80760,1500000
"Casper Staring",596158,5,0,5,0,1735,1e+05
"Casper Tengstedt",464598,0,0,14,7,4354,3500000
"Casper Winther",627936,0,0,0,0,504,4e+05
"Cassiano",238367,255,17,170,68,50694,5e+05
"Castello Lukeba",618472,18,0,12,0,15816,2e+07
"Catalin Carp",213016,546,0,63,42,153489,1700000
"Catriel Sánchez",528423,0,0,0,0,360,4e+05
"Cauly",162812,0,0,92,0,23713,2500000
"Cauê Silva",76090,192,0,96,24,78336,2400000
"Cazim Suljic",348431,14,0,0,0,1414,3e+05
"Caíque Lemes",371927,0,0,0,0,240,3e+05
"Cebio Soukou",85000,54,0,27,0,14688,1e+06
"Cebrail Karayel",260330,255,0,17,119,61557,1e+06
"Cedric Badjeck",215336,10,0,0,0,1900,250000
"Cedric Gondo",213854,100,0,40,20,11060,9e+05
"Cedric Itten",243856,60,0,180,20,36120,4500000
"Cedric Omoigui",336729,0,0,17,17,5355,6e+05
"Cedric Teuchert",207597,42,0,63,21,25326,2e+06
"Celil Yüksel",336074,0,0,0,0,120,7e+05
"Celso Borges",81532,960,0,544,192,389984,5e+06
"Celso Ortiz",125250,125,0,0,0,88425,3e+06
"Cem Can",44608,42,0,0,21,18270,2e+06
"Cem Türkmen",530157,0,0,0,0,228,4e+05
"Cem Özdemir",170442,115,0,69,23,43539,5e+05
"Cemali Sertel",573981,30,0,15,15,39690,1e+06
"Cengiz Ünder",341647,276,0,851,575,250194,3.5e+07
"Cenk Ahmet Alkilic",68211,336,0,196,280,202104,1400000
"Cenk Gönen",45214,120,0,0,0,65400,5e+06
"Cenk Sahin",167042,341,0,62,403,66154,4500000
"Cenk Tosun",45671,592,0,2516,703,354312,2.3e+07
"Cenk Özkacar",615350,32,0,16,0,22680,2e+06
"Cesare Bovo",5946,640,0,64,64,165984,6500000
"Cesare Natali",16870,0,0,0,0,551,6e+06
"Cesc Fàbregas",8806,1848,84,1050,2646,725046,5.5e+07
"Ceyhun Gülselam",37216,2701,37,259,555,485995,2500000
"Cezary Wilk",35448,48,0,0,0,16584,1600000
"Chadrac Akolo",247459,69,0,184,92,55361,6e+06
"Chahir Belghazouani",57144,153,0,34,68,25279,1500000
"Chaker Alhadhur",178540,120,24,0,0,45240,1250000
"Chancel Mbemba",203348,725,25,200,25,411100,1.7e+07
"Chang-hoon Kwon",259350,133,0,304,76,81016,7500000
"Chaouki Ben Saada",5597,128,0,32,32,36608,2600000
"Charalabos Damianakis",295389,18,0,0,0,6888,2e+05
"Charalabos Pavlidis",108739,16,0,16,0,11440,3e+05
"Charalampos Kyriakou",203970,48,0,48,16,27936,9e+05
"Charalampos Lykogiannis",136514,750,0,150,225,247725,2500000
"Charalampos Makridis",414318,0,0,0,0,51,350000
"Charalampos Mavrias",136647,50,0,0,0,9100,3e+06
"Chardi Landu",538966,0,0,0,0,886,1e+05
"Charilaos Charisis",257482,861,0,63,147,236292,1200000
"Charlee Adams",307419,2,0,0,0,385,75000
"Charles",16335,875,0,50,50,195500,3200000
"Charles",154059,1204,28,1428,308,296800,3e+06
"Charles",181773,228,0,0,0,175294,2e+06
"Charles",486078,72,0,12,24,14436,1e+06
"Charles Abi",418658,33,0,33,22,17391,3e+06
"Charles Ankomah",360239,0,0,0,0,155,250000
"Charles Aránguiz",89701,806,0,390,650,388128,1.5e+07
"Charles De Ketelaere",435772,78,0,260,195,88387,3e+07
"Charles Diers",31069,0,0,16,0,7664,850000
"Charles Dunne",220496,119,34,0,34,121142,4e+05
"Charles Itandje",5470,144,0,0,0,150456,4500000
"Charles Kaboré",57402,2584,76,76,418,579006,7500000
"Charles N'Zogbia",22165,115,0,0,69,39054,1.2e+07
"Charles Pickel",243879,170,0,0,17,42670,3800000
"Charles Traoré",394906,432,0,18,72,157860,3e+06
"Charles Vanhoutte",569845,66,0,11,11,36729,9e+05
"Charles-Andreas Brym",595028,7,0,0,0,1386,325000
"Charlie Adam",28990,1088,64,384,288,220736,8500000
"Charlie Austin",129627,297,0,1026,297,190296,1.3e+07
"Charlie Colkett",236496,0,0,0,0,3267,7e+05
"Charlie Cresswell",597659,4,0,0,0,1040,5e+06
"Charlie Daniels",61819,112,0,144,176,185808,3500000
"Charlie Gilmour",293726,5,0,0,0,1300,3e+05
"Charlie Goode",376856,30,0,0,0,6280,1e+06
"Charlie Lakin",564048,5,0,10,5,6705,3e+05
"Charlie Mulgrew",37428,182,0,104,104,135772,3500000
"Charlie Taylor",195633,247,0,0,133,239932,7e+06
"Charlie Telfer",205878,18,0,36,0,15219,250000
"Charlie Trafford",272955,19,0,0,0,15333,2e+05
"Charlison Benschop",66783,96,0,192,72,70824,2e+06
"Charlton Vicento",119256,0,0,16,16,3488,850000
"Charly Charrier",180091,0,0,0,0,1144,5e+05
"Charly Musonda Jr.",177862,68,0,34,85,36244,5e+06
"Charni Ekangamene",105337,52,0,0,0,13936,9e+05
"Chechu Dorado",70898,210,0,0,0,99260,3e+06
"Cheick Diabaté",78082,217,31,1116,248,152675,5e+06
"Cheick Doucouré",543387,180,12,36,60,66972,3e+07
"Cheick Doukouré",129679,459,27,81,27,141129,1600000
"Cheick Keita",330289,144,0,36,18,28872,1250000
"Cheick Souaré",569367,0,0,0,0,45,2e+05
"Cheick Timite",424709,20,0,10,10,15690,2e+06
"Cheick Touré",424326,0,0,0,0,216,5e+05
"Cheick Traoré",378965,42,0,0,0,21588,1500000
"Cheik Tioté",33478,260,0,0,40,47700,12500000
"Cheikh M'Bengue",56795,384,0,0,64,209984,5500000
"Cheikh N'Doye",282058,294,63,294,252,168420,4e+06
"Cheikh Niasse",644032,0,0,0,0,4270,2500000
"Cheikhou Dieng",225536,0,0,0,0,552,650000
"Cheikhou Kouyaté",66934,1054,62,558,434,715728,1.2e+07
"Chema Rodríguez",248330,420,42,63,21,99876,3e+06
"Chengdong Zhang",138655,0,0,0,0,7104,1400000
"Cherif Ndiaye",480705,72,0,180,36,52956,2200000
"Chicharito",50935,665,0,2380,735,407155,2.5e+07
"Chico",55346,500,20,200,20,188160,2e+06
"Chico Flores",51681,27,0,0,27,18225,6500000
"Chico Geraldes",257456,627,19,133,285,163590,4e+06
"Chico Ramos",198007,238,0,17,0,93177,1500000
"Chico Teixeira",599847,16,0,8,0,4508,450000
"Chidera Ejuke",500067,39,0,273,182,82784,9e+06
"Chidera Ezeh",295323,0,0,0,0,20,150000
"Chidiebere Nwakali",295344,14,0,0,0,2310,6e+05
"Chidozie Awaziem",358143,840,63,63,42,215271,6e+06
"Chigozie Udoji",49038,28,0,56,0,18760,9e+05
"Chima Akas",407577,132,0,11,22,34529,5e+05
"Chima Okoroji",284035,0,0,0,0,1768,1e+06
"Chimy Ávila",167721,630,0,588,147,126252,1.5e+07
"China",497719,121,0,44,33,27874,4e+05
"Chinedu Ede",26486,75,0,150,275,79450,1250000
"Chinedu Geoffrey",538773,13,0,13,0,4511,3e+05
"Chinedu Obasi",41663,0,0,30,30,11010,8e+06
"Chingiz Agabalaev",515075,0,0,0,0,110,225000
"Chingiz Magomadov",455014,48,0,0,0,10812,3e+05
"Chiquinho",334557,234,0,306,306,124380,9e+06
"Chiquinho",695454,35,0,21,42,8638,3e+06
"Chisamba Lungu",151197,180,0,100,200,131900,2500000
"Choco Lozano",131275,432,24,312,192,119112,4e+06
"Chory Castro",28171,525,0,350,490,266070,7e+06
"Chovanie Amatkarijo",435019,0,0,0,0,15,250000
"Chris Baird",4115,60,0,0,30,33330,4e+06
"Chris Basham",52495,270,0,30,60,192960,3e+06
"Chris Bedia",294791,60,0,60,15,42480,1100000
"Chris Brunt",36814,594,0,162,702,268110,7500000
"Chris Burke",9618,200,0,525,875,202750,2750000
"Chris Cadden",277782,96,0,108,144,137736,8e+05
"Chris Chantler",121403,20,0,0,8,9700,175000
"Chris David",187285,0,0,0,16,2400,250000
"Chris Duggan",318715,0,0,1,0,177,25000
"Chris Durkin",367423,105,0,30,45,40800,1200000
"Chris Eagles",24635,0,0,0,69,11454,5500000
"Chris Erskine",117966,153,17,340,306,141236,425000
"Chris Forrester",180497,9,0,0,0,1620,2e+05
"Chris Führich",272278,45,0,45,30,29580,4e+06
"Chris Hamilton",430311,0,0,0,1,180,2e+05
"Chris Herd",61572,18,0,0,0,1620,2500000
"Chris Johnston",213114,18,0,6,12,9786,175000
"Chris Kane",161496,322,0,406,224,141036,425000
"Chris Long",183298,130,0,208,91,53742,1e+06
"Chris Löwe",55125,105,0,0,70,135205,2e+06
"Chris Mavinga",93732,360,0,0,60,66960,5e+06
"Chris Maxwell",104686,39,0,0,0,13455,5e+05
"Chris McLaughlin",401043,0,0,0,0,181,150000
"Chris Mepham",480987,26,0,13,13,27833,1.3e+07
"Chris Millar",36724,170,0,17,68,120054,6e+05
"Chris Mochrie",633655,10,0,5,5,2555,125000
"Chris Philipps",117509,210,0,0,0,49833,1250000
"Chris Ramos",538810,0,0,0,0,960,1e+06
"Chris Richards",578539,39,0,13,39,37570,1.2e+07
"Chris Robertson",36808,25,0,0,0,11825,350000
"Chris Smalling",103427,990,0,627,231,777678,2e+07
"Chris Turner",13490,10,0,0,0,845,275000
"Chris Willock",314341,0,0,0,0,350,6e+06
"Chris Wood",108725,140,0,1568,252,374500,1.8e+07
"Chrislain Matsima",569383,12,0,0,0,3684,6e+06
"Christian",281831,294,0,42,84,60564,1e+06
"Christian Abbiati",3507,0,0,0,0,37628,6500000
"Christian Atsu",186997,130,0,130,260,142142,6e+06
"Christian Bassogog",374281,16,0,64,48,28432,4500000
"Christian Benteke",50201,1184,74,2331,703,586968,3.5e+07
"Christian Brüls",38978,280,0,315,455,178325,2500000
"Christian Burgess",244221,88,0,44,0,26983,1500000
"Christian Capone",315856,0,0,0,0,630,1500000
"Christian Cappis",544931,132,0,72,36,32220,1500000
"Christian Clemens",44713,180,0,360,216,169524,3500000
"Christian Conteh",530298,0,0,0,0,396,5e+05
"Christian Cueva",95280,22,0,22,22,20504,5e+06
"Christian D'Urso",340444,36,0,18,18,38772,1e+06
"Christian Dalle Mura",487829,0,0,0,0,7,1300000
"Christian Doidge",255353,80,10,300,70,63870,1100000
"Christian Dorda",36189,78,0,0,26,28418,550000
"Christian Enemark",345576,0,0,0,0,2160,250000
"Christian Eriksen",69633,684,0,2484,2988,908064,1e+08
"Christian Früchtl",336307,0,0,0,0,153,1e+06
"Christian Fuchs",6636,1175,0,376,846,678492,7500000
"Christian Gammelgaard",610430,0,0,0,0,188,150000
"Christian Gebauer",275423,0,0,17,17,11492,8e+05
"Christian Gentner",19112,861,0,697,738,584209,7500000
"Christian Groß",58396,319,0,0,87,79199,5e+05
"Christian Günter",93707,625,25,225,950,570825,1.2e+07
"Christian Ilic",297198,12,0,0,0,3384,5e+05
"Christian Jakobsen",256186,352,0,638,264,224400,6e+05
"Christian Kabasele",81512,858,66,363,132,472065,9e+06
"Christian Keller",22176,204,0,34,0,110551,1200000
"Christian Kouakou",230221,21,0,42,21,20181,1e+06
"Christian Kouamé",337725,286,22,440,352,167948,2.2e+07
"Christian Kudsk",293308,0,0,0,0,816,150000
"Christian Kum",37850,644,46,253,161,317998,750000
"Christian Köhler",228424,144,0,12,12,35148,4e+05
"Christian Luyindama",262793,440,0,180,60,182040,7500000
"Christian Maggio",21151,525,0,35,105,223405,1.2e+07
"Christian Mathenia",82361,216,0,0,0,240138,2500000
"Christian Mbulu",475284,0,0,0,1,353,50000
"Christian Nadé",33926,24,0,16,0,5384,7e+05
"Christian Noboa",45858,980,70,1505,1365,585690,1e+07
"Christian Nörgaard",148367,899,0,377,261,365806,1.4e+07
"Christian Obodo",6087,133,0,19,0,47690,6750000
"Christian Oliva",563812,39,0,26,52,17732,5e+06
"Christian Pander",2805,0,0,0,20,10460,6500000
"Christian Pastina",476624,7,0,0,7,840,5e+05
"Christian Pouga",41208,13,0,13,13,6162,1e+06
"Christian Poulsen",1443,72,24,24,24,26232,1.2e+07
"Christian Puggioni",48003,84,28,0,0,121184,1300000
"Christian Pulisic",315779,240,0,880,820,290240,6e+07
"Christian Ramirez",236590,13,0,195,52,45669,1300000
"Christian Rivera",374077,260,0,40,20,76140,2500000
"Christian Rutjens",462809,0,0,0,0,13,275000
"Christian Santos",50487,465,0,806,93,147932,2e+06
"Christian Schulz",1586,495,0,99,33,169224,4500000
"Christian Sivebaek",37527,69,0,69,46,30889,750000
"Christian Strohdiek",48081,180,0,30,120,96450,1200000
"Christian Sörensen",104918,88,0,22,220,50930,5e+05
"Christian Träsch",38440,64,0,0,160,151104,1.2e+07
"Christian Vestergaard",492489,0,0,0,0,540,1e+05
"Christian Walton",208379,15,0,0,0,8100,1e+06
"Christie Elliott",196869,306,18,54,90,126846,3e+05
"Christoffer Remmer",203414,0,0,0,44,48620,5e+05
"Christoffer Östergaard",261886,36,0,0,0,9558,2e+05
"Christoforos Karagiannis",586722,6,0,0,6,174,1e+05
"Christoph Baumgartner",324278,300,0,345,225,101385,2.2e+07
"Christoph Daferner",324851,0,0,0,0,360,1200000
"Christoph Janker",14977,168,21,0,0,50022,8e+05
"Christoph Kramer",82097,1581,0,248,465,589341,1.4e+07
"Christoph Moritz",55519,31,0,0,0,30504,3e+06
"Christoph Zimmermann",77812,115,0,0,46,46069,3500000
"Christophe Berra",36602,378,0,108,81,200610,4500000
"Christophe Diandy",105352,442,0,52,78,232752,1200000
"Christophe Diedhiou",282031,34,34,0,0,23562,4e+05
"Christophe Hérelle",170544,522,54,54,0,185706,9e+06
"Christophe Jallet",28335,570,0,180,480,317370,6500000
"Christophe Janssens",289564,0,0,0,0,108,350000
"Christophe Kerbrat",138049,500,75,25,25,352625,2500000
"Christophe Lepoint",4742,704,32,512,416,321056,1700000
"Christophe Mandanne",23952,115,0,322,92,78775,2e+06
"Christopher",387923,0,0,6,0,531,1e+05
"Christopher Antwi-Adjei",289182,60,0,45,90,59295,2e+06
"Christopher Braun",82657,90,0,0,30,83730,8e+05
"Christopher Glombard",93701,0,0,0,0,6574,1750000
"Christopher Ikonomidis",248483,51,0,34,17,19703,1250000
"Christopher Jullien",201737,506,23,345,161,316411,6500000
"Christopher Knett",70164,50,0,0,0,94125,350000
"Christopher Lenz",159844,378,0,27,243,154629,5e+06
"Christopher Maboulou",138199,14,0,98,56,40096,1e+06
"Christopher Mandiangu",37078,0,0,0,0,1476,4e+05
"Christopher Martins Pereira",248054,150,0,15,45,30375,5e+06
"Christopher Nkunku",344381,276,0,1288,1127,283038,8e+07
"Christopher Operi",469976,10,0,0,10,8060,1e+06
"Christopher Oualembo",72283,24,0,0,12,32784,5e+05
"Christopher Poulsen",22467,42,0,14,14,15246,1350000
"Christopher Rocchia",352393,0,0,0,0,352,1e+06
"Christopher Routis",153776,264,0,168,144,102960,6e+05
"Christopher Samba",29016,150,0,150,25,97900,1.5e+07
"Christopher Schindler",57842,434,0,31,31,209343,7e+06
"Christopher Scott",503162,0,0,0,0,192,1200000
"Christopher Trimmel",75921,672,0,96,672,268224,1200000
"Christopher Wooh",572326,18,0,0,18,9450,6e+06
"Christos Agrodimos",256780,16,0,0,0,2992,2e+05
"Christos Albanis",184885,45,0,210,45,68835,750000
"Christos Albanis",413178,0,0,0,0,378,175000
"Christos Aravidis",34193,270,27,567,189,128115,1e+06
"Christos Belevonis",554403,3,0,0,0,543,150000
"Christos Bourbos",20750,260,0,0,0,46420,5e+05
"Christos Cholevas",232875,0,0,0,0,390,1e+05
"Christos Donis",212432,660,0,220,176,214126,8e+05
"Christos Eleftheriadis",210988,42,14,98,28,42294,4e+05
"Christos Giousis",512993,0,0,20,0,2400,6e+05
"Christos Gromitsaris",231792,45,0,30,0,53415,350000
"Christos Karypidis",16597,294,0,63,0,193809,2e+06
"Christos Koukolis",164501,112,0,0,0,25648,350000
"Christos Kountouriotis",417669,0,0,0,0,810,3e+05
"Christos Liatsos",665392,0,0,0,0,44,150000
"Christos Lisgaras",19638,1456,52,260,26,408850,5e+05
"Christos Mandas",481675,26,0,0,0,26806,8e+05
"Christos Melissis",25684,108,0,18,18,73170,2500000
"Christos Mingas",25668,16,0,48,48,38432,450000
"Christos Pipinis",34200,128,0,0,0,21424,5e+05
"Christos Retsos",624132,0,0,0,4,696,1e+05
"Christos Sielis",470240,0,0,0,0,84,6e+05
"Christos Tasoulis",253973,722,0,76,95,187359,6e+05
"Christos Theodorakis",329899,13,0,0,0,16575,3e+05
"Christos Tzanis",67078,68,0,119,34,37995,6e+05
"Christos Tzioras",255525,33,0,0,0,12298,250000
"Christos Tzolis",451677,32,0,144,88,25864,1.2e+07
"Christy Manzinga",510045,8,0,4,0,532,250000
"Chrysovalantis Kozoronis",236785,391,0,102,153,106743,6e+05
"Chuba Akpom",197642,357,0,609,252,135240,3500000
"Chuca",399779,14,0,0,14,4382,5e+05
"Chuks Aneke",122694,120,0,60,12,34116,1e+06
"Chuli",129515,0,0,0,0,1690,1500000
"Chuma Anene",136167,51,0,51,17,35530,5e+05
"Chumbinho",79132,231,0,42,147,73416,1500000
"Chung-yong Lee",81801,0,0,62,93,64511,7500000
"Ché Adams",346779,44,0,462,264,142582,2.2e+07
"Ché Nunnely",326030,32,0,304,176,115808,1250000
"Cian Harries",319300,15,0,5,0,2350,250000
"Ciaran Clark",98240,870,30,330,120,359640,6e+06
"Ciaran McKenna",509028,6,0,0,0,708,225000
"Ciaron Brown",611845,12,0,0,18,8766,6e+05
"Cican Stankovic",127679,0,0,0,0,34830,4e+06
"Cicinho",26101,210,60,30,420,151410,1.5e+07
"Cihan Topaloglu",209576,0,0,0,0,5130,375000
"Cihan Özkara",83234,0,0,0,0,875,9e+05
"Cihat Celik",275385,0,0,0,0,1340,2e+05
"Cillian Sheridan",14641,46,0,0,0,7245,1250000
"Cinar Tarhan",383456,0,0,0,0,253,150000
"Ciprian Marica",16833,23,0,23,0,9361,7e+06
"Ciprian Tatarusanu",55282,68,0,0,0,551208,5e+06
"Ciro Immobile",105521,1548,72,7272,1908,885276,5e+07
"Cisse Sandra",632088,0,0,5,0,1390,1500000
"Claiton",139169,78,0,0,26,20774,7e+05
"Clarck N'Sikulu",164937,304,0,342,209,152684,1500000
"Clark Robertson",119569,0,0,0,0,17,5e+05
"Claud Adjapong",337716,198,18,36,18,45360,4e+06
"Claude Gonçalves",280178,525,0,63,63,179361,1300000
"Claudemir",68275,957,0,231,594,444510,3250000
"Claudinho",403315,48,12,120,60,29148,1.8e+07
"Claudio Beauvue",58818,279,0,1116,279,319517,5e+06
"Claudio Bravo",40423,222,74,0,37,594442,1.5e+07
"Claudio Falcão",437566,294,28,56,28,100730,7e+05
"Claudio Gomes",395239,0,0,0,0,30,1300000
"Claudio Marchisio",44716,783,0,189,405,293571,3.1e+07
"Claudio Pizarro",532,175,0,1015,350,169540,1.2e+07
"Claudio Terzi",16873,403,0,31,31,101091,1500000
"Claudio Yacob",45330,1023,31,31,31,267251,6500000
"Clayton",250007,0,0,0,15,135,5e+06
"Cleiton Xavier",27378,22,0,242,0,32340,9e+06
"Clemens Fritz",1277,750,0,50,250,169300,7e+06
"Clemente",59372,0,0,0,0,1104,350000
"Cleylton",523606,18,0,9,9,11718,5e+05
"Cleyton",24337,290,0,348,203,78532,2800000
"Clifford Aboagye",262554,0,0,0,0,224,3e+06
"Clint Essers",387201,135,0,0,0,34590,350000
"Clint Hill",13583,165,0,75,15,54825,1250000
"Clint Leemans",250464,325,0,450,225,176200,2e+06
"Clinton Antwi",587302,13,13,13,26,17342,5e+05
"Clinton Mata",187718,988,0,104,338,431938,1e+07
"Clinton Mola",470594,0,0,0,0,1017,1200000
"Clinton N'Jie",241119,392,0,812,560,212296,1.5e+07
"Clive Smith",319303,0,0,0,0,180,50000
"Cláudio Ramos",155396,240,0,0,20,280220,2e+06
"Cláudio Winck",181783,324,18,90,108,93294,1e+06
"Cléber Reis",226009,180,18,36,0,56196,3e+06
"Clément Chantôme",43458,532,0,28,140,124796,7e+06
"Clément Depres",347595,17,0,68,0,7599,1500000
"Clément Grenier",72479,759,0,594,660,294855,1.2e+07
"Clément Lenglet",182904,1612,26,286,130,515450,6e+07
"Clément Libertiaux",516948,0,0,0,0,540,1e+05
"Clément Maury",148597,11,0,0,11,33660,1250000
"Clément Michelin",318520,105,15,0,90,48750,2500000
"Clément Petit",377451,2,0,0,0,146,150000
"Clément Tainmont",102679,357,63,189,441,130956,1e+06
"Clément Vidal",569388,9,0,0,0,1584,1500000
"Clésio Baúque",211796,198,0,90,108,83376,6e+05
"Clévid Dikamona",114935,154,14,14,0,66066,350000
"Cody Cooke",550131,0,0,4,0,1484,1e+05
"Cody Drameh",531957,6,0,0,0,711,3e+06
"Cody Gakpo",434675,230,0,897,736,183448,6e+07
"Coen Gortemaker",232499,0,0,0,0,44,1e+05
"Cohen Bramall",480191,0,0,0,0,1152,4e+05
"Coke",71905,1225,0,805,315,461790,4e+06
"Cole Bassett",605144,0,0,0,13,1105,6e+06
"Cole Kpekawa",347895,8,0,0,0,4040,450000
"Cole Palmer",568177,0,0,15,5,2070,1.5e+07
"Cole Stockton",213398,5,0,0,5,2120,5e+05
"Colin Coosemans",154351,180,0,0,30,201300,1500000
"Colin Dagba",460629,112,0,14,56,49140,1.8e+07
"Colin Doyle",28728,0,0,0,0,28080,7e+05
