"player_name","player_id","yellow_cards","red_cards","goals","assists","total_minutes_played"
"Abel Hern<U+00E1>ndez",76608,58,0,348,145,106923
"Abel Ruiz",340376,64,0,176,96,62208
"Abel Tamata",123513,13,0,0,0,30888
"Abiola Dauda",69651,330,30,1290,360,268410
"Ablaye Faye",256139,0,0,0,0,1092
"Ablaye Mbengue",354040,165,0,345,45,68235
"Ablie Jallow",366045,24,0,60,12,24024
"Abner",273455,78,13,0,26,23205
"Abou Ba",427653,44,0,0,0,8712
"Abou Diaby",26763,23,0,0,0,7636
"Abou Kant<U+00E9>",315095,0,0,0,0,768
"Abou Ouattara",443263,20,0,10,0,2900
"Aboubakar Kamara",290951,342,57,304,95,101061
"Aboubakar Keita",294807,19,0,19,38,9367
"Aboubakar Oumarou",97166,28,0,0,28,29120
"Aboubakary Koita",422377,187,0,221,102,87584
"Abraham Gonz<U+00E1>lez",65243,135,0,54,54,77814
"Abraham Minero",95483,174,0,29,58,38251
"Abraham Okyere",733431,0,0,0,0,290
"Abu Francis",658533,72,18,54,36,23913
"Abubakar Inalkaev",866756,0,0,0,0,177
"Abubakar Kadyrov",488849,10,0,10,0,1080
"Abud Omar",272920,36,0,0,0,8484
"Abuda",228206,60,0,0,0,25644
"Abukar Mohamed",363714,6,0,0,0,270
"Accioly",56054,22,0,11,0,10978
"Accursio Bentivegna",244927,21,0,0,0,3801
"Achille Vaarnold",241502,0,0,0,0,581
"Achilleas Poungouras",255688,374,0,17,17,139009
"Achraf El Bouchataoui",361122,0,0,0,0,3696
"Achraf Hakimi",398073,528,22,550,770,302368
"Achraf Lazaar",139173,168,0,112,140,166824
"Adalberto Pe<U+00F1>aranda",308801,252,0,108,72,63774
"Adam Armstrong",250426,36,0,72,108,43902
"Adam Bareiro",514120,55,0,55,33,21153
"Adam Barton",106252,54,0,18,18,49779
"Adam Bodzek",20778,476,34,0,68,125086
"Adam Brown",331074,0,0,0,0,1414
"Adam Campbell",204354,0,0,0,0,110
"Adam Clayton",73067,242,0,0,44,71676
"Adam Collin",3564,0,0,0,5,1800
"Adam Drury",186292,0,0,3,1,905
"Adam Dzwigala",236966,96,0,0,24,31512
"Adam Eckersley",37138,0,0,0,0,1350
"Adam Federici",4233,22,0,0,0,33990
"Adam Forshaw",121257,189,0,0,42,93891
"Adam Frizzell",356621,24,0,24,0,14736
"Adam Hammill",38091,34,0,68,68,15487
"Adam Hlousek",62800,266,0,0,0,78850
"Adam Hutchinson",652634,0,0,0,0,180
"Adam Idah",434223,0,0,50,10,12410
"Adam Jackson",134419,0,0,28,7,8421
"Adam Jakobsen",503602,56,0,42,0,14980
"Adam Jakubech",258267,19,0,0,0,44460
"Adam Johnson",31579,110,0,154,176,79134
"Adam King",169566,0,0,0,0,1080
"Adam Kokoszka",33430,125,0,0,50,50750
"Adam Kolberg",376782,0,0,0,0,70
