"player_name","player_id","yellow_cards","red_cards","goals","assists","total_minutes_played"
"Elias Cobbaut",419723,119,0,17,85,101813
"Elias Hoff Melkersen",661428,10,0,10,0,1835
"Elias Kachunga",49501,196,0,224,56,153076
"Elias Oubella",406607,0,0,0,0,65
"Elias Sierra",409514,0,0,0,6,3168
"Elias Spago",706622,0,0,0,0,880
"Elias S<U+00F6>rensen",422930,0,0,0,0,156
"Elijah Dixon-Bonner",433180,0,0,0,0,2
"Elimane Coulibaly",34991,72,18,144,72,38718
"Elini Dimoutsos",51984,1419,0,165,198,382437
"Elio Capradossi",238947,19,0,0,0,8417
"Eliot Matazo",535834,8,8,8,8,10944
"Eliran Atar",112663,0,0,0,0,200
"Eliseo Falc<U+00F3>n",396115,26,0,0,0,3692
"Eliseu",14192,667,0,116,232,255316
"Elisha Owusu",395695,180,0,0,15,96240
"Eljero Elia",27805,1104,0,1564,1012,582728
"Eljif Elmas",400489,408,0,255,136,128027
"Elkin Soto",40937,66,0,66,22,9262
"Elliot Lee",229826,0,0,6,0,1386
"Elliot Parish",62645,0,0,0,0,62608
"Elliott Bennett",43193,0,0,0,0,6825
"Elliott Frear",135111,27,0,27,117,26658
"Elliott Ward",15838,0,0,0,0,2880
"Ellis Plummer",183771,4,0,0,0,1014
"Ellyes Skhiri",290587,551,0,399,228,343007
"Elmar Bjarnason",29390,825,0,231,198,241989
"Elmir Nabiullin",214257,726,22,110,330,286726
"Elmo Lieftink",272707,36,0,18,54,46638
"Elohim Rolland",351837,286,0,78,65,67301
"Eloi Amagat",73222,0,0,0,0,312
"Eloy Room",79294,0,0,0,0,262416
"Elseid Hysaj",200056,1120,28,56,336,673204
"Elso Brito",277112,15,0,0,15,10125
"Elson Hooi",229228,76,0,76,133,74385
"Elton",116917,0,0,0,9,2529
"Elton Acolatse",206740,288,0,168,216,99264
"Elton Kabangu",396847,11,0,33,0,10714
"Elton N'Gwatala",413494,4,0,2,0,1292
"Elvio van Overbeek",207049,0,0,13,0,1001
"Elvis Kokalovic",47517,126,0,0,0,48195
"Elvis Manu",198070,513,27,756,324,182952
"Elvis Rexhbecaj",280575,240,0,135,165,106485
"Elyasa S<U+00FC>me",2587,702,27,54,54,198639
"Elye Wahi",659542,21,7,91,21,16170
"El<U+00ED>as M<U+00E1>r <U+00D3>marsson",205655,19,0,133,38,31388
"El<U+00ED>as Pereyra",576027,18,0,0,0,12609
"El<U+00ED>as Rafn <U+00D3>lafsson",464373,16,0,0,8,12920
"El<U+00ED>zio",80144,85,0,17,17,36125
"Emanuel Cecchini",324946,14,0,0,0,1344
"Emanuel Dening",124904,45,0,30,45,9915
"Emanuel Emegha",559328,0,0,24,0,11488
"Emanuel Ins<U+00FA>a",226006,720,20,80,40,138840
"Emanuel Mammana",275512,242,0,22,44,143968
"Emanuel Novo",352934,0,0,0,0,208
"Emanuel Perrone",34324,624,0,286,260,98566
"Emanuel Sakic",75413,440,0,66,66,156354
"Emanuel Vignato",394346,90,0,45,105,40605
"Emanuele Giaccherini",84835,672,0,420,112,175364
"Emanuele Ndoj",287717,34,0,0,17,9333
"Emanuele Suagher",163600,192,0,0,0,19392
"Emanuele Terranova",61770,64,0,0,0,46976
"Emanuele Torrasi",315870,0,0,0,0,50
"Embiya Ayyildiz",543197,0,0,0,0,539
"Emeka Nnamani",564453,12,0,6,0,1632
"Emerson",181778,364,52,182,208,286650
"Emerson Hyndman",223047,17,0,85,68,41888
"Emerson Royal",476344,442,17,102,187,157148
"Emil Audero",256339,154,0,0,22,284042
"Emil Berggreen",234375,120,0,288,120,69696
"Emil Bergstr<U+00F6>m",142208,26,26,52,52,103142
"Emil Bodholdt-Larsen",542833,0,0,0,0,192
"Emil Bohinen",406806,112,0,28,28,18004
"Emil Damgaard",400533,0,0,0,0,440
"Emil Forsberg",111078,162,54,1350,1269,342495
"Emil Frederiksen",422941,40,0,30,30,22980
"Emil Hallfredsson",22673,1178,0,93,434,248279
"Emil Hansson",276002,0,0,48,160,66032
"Emil Holm",496745,110,0,50,20,22680
"Emil Holten",332071,0,0,105,0,10440
"Emil Konradsen Ceide",508371,0,0,16,16,2800
"Emil Kornvig",455068,63,0,7,7,13790
"Emil Krafth",184528,325,50,75,100,267375
"Emil Larsen",99106,72,0,72,72,72666
"Emil Lyng",69905,20,20,120,80,51160
"Emil Mustafaev",892054,0,0,8,4,1236
"Emil Nielsen",164647,44,0,242,110,75372
"Emil Ousager",44722,0,0,0,0,2970
"Emil Peter J<U+00F6>rgensen",204138,0,0,0,0,1080
"Emil Riis",293325,112,14,168,70,38864
"Emil Scheel",155617,57,0,190,95,100339
"Emile Smith Rowe",392765,26,0,234,117,67639
"Emiliano Alb<U+00ED>n",125125,18,0,0,0,4212
"Emiliano Buend<U+00ED>a",321247,234,36,108,252,106056
"Emiliano Ellacopulos",271598,99,0,22,11,10582
"Emiliano Ins<U+00FA>a",45599,648,36,108,288,342576
"Emiliano Marcondes",232964,253,0,851,276,167739
"Emiliano Mart<U+00ED>nez",111873,168,0,0,0,254664
"Emiliano Moretti",5755,896,0,140,168,396396
"Emiliano Purita",471638,20,0,0,10,10940
"Emiliano Rigoni",282544,460,0,391,276,129605
"Emiliano Romero",87536,0,0,4,0,1296
"Emiliano Sala",190780,272,0,816,255,173672
"Emiliano Vel<U+00E1>zquez",189458,672,28,168,112,165228
"Emiliano Viviano",24316,684,0,0,0,685672
"Emilijus Zubas",113619,0,0,0,0,2070
"Emilio Izaguirre",62246,323,0,51,204,150739
"Emilio Nsue",59558,0,0,0,0,15470
"Emilio Simonsen",528522,11,0,22,0,4059
"Emiljano Shehu",336638,0,0,0,0,330
"Emin Bayram",655902,0,0,0,0,1128
"Emin Mahmudov",137203,162,0,27,0,48195
"Emir Bajrami",36689,72,0,0,48,12480
"Emir Dautovic",197650,0,0,0,0,1260
"Emir Dede",607253,0,0,0,0,24
"Emir Dilaver",80161,148,0,0,37,74407
"Emir Kujovic",47199,0,0,0,30,4740
"Emir K<U+00F6>ksal",667392,0,0,0,0,12
"Emir Spahic",25812,576,24,24,48,152640
"Emircan Altintas",315753,18,0,0,0,4086
"Emirhan Aydogan",256772,0,0,0,0,1921
"Emirhan Civelek",361261,0,0,0,0,810
"Emirhan Ilkhan",743091,0,0,5,0,3165
"Emirhan Kascioglu",820661,3,0,0,0,441
"Emirhan Topcu",531332,16,0,0,0,13472
"Emmanuel Adebayor",8883,480,0,900,300,213120
"Emmanuel Agbadou",683895,130,10,60,0,48720
"Emmanuel Apeh",463332,0,0,0,0,144
"Emmanuel Badu",108484,448,28,168,196,239204
"Emmanuel Banda",490308,32,0,32,32,9312
"Emmanuel Boateng",332612,380,20,460,200,147920
"Emmanuel Bourgaud",57359,0,0,0,13,6929
"Emmanuel Cascione",8206,200,0,25,25,56925
"Emmanuel Culio",30846,140,28,0,28,30268
"Emmanuel Dennis",448854,612,18,720,252,188064
"Emmanuel Emenike",120630,264,0,396,198,93874
"Emmanuel Frimpong",93056,112,14,0,28,29582
"Emmanuel Gyasi",241076,308,0,242,132,131978
"Emmanuel Hackman",375039,378,18,36,108,120258
"Emmanuel Imorou",74709,154,22,22,66,125422
"Emmanuel Iyoha",314245,0,0,0,0,234
"Emmanuel Kon<U+00E9>",39190,357,0,105,84,122703
"Emmanuel Latte Lath",392964,13,0,13,0,1144
"Emmanuel Ledesma",62247,72,0,0,48,11736
"Emmanuel Matuta",486052,0,0,0,0,651
"Emmanuel Mayuka",55709,0,0,0,0,1496
"Emmanuel Mensah",286181,10,0,10,0,2380
"Emmanuel M<U+00E1>s",77153,144,0,24,24,66912
"Emmanuel Ogude",288655,9,0,81,9,11421
"Emmanuel Ogura",659225,8,0,0,0,3000
"Emmanuel Okwi",182200,9,0,18,0,2871
"Emmanuel Oti",355483,64,0,0,32,19152
"Emmanuel Rivi<U+00E8>re",61637,217,31,279,155,160053
"Emmanuel Sabbi",381187,378,0,308,168,112812
"Emmanuel Sonupe",312531,0,0,0,0,108
"Emmanuel Sowah Adjei",408839,65,0,0,0,15158
"Emmers<U+00F3>n",213429,208,16,16,32,63584
"Emrah Bassan",177031,180,0,390,660,181350
"Emrah Tuncel",51824,0,0,0,0,9720
"Emrah <U+00D6>zyaylaz",387968,0,0,0,0,154
"Emre Akbaba",278654,567,0,1107,756,313470
"Emre Bekir",616460,0,0,0,0,72
"Emre Bel<U+00F6>zoglu",5782,1617,66,759,891,394053
"Emre Bilgin",727147,9,0,0,0,2430
"Emre Can",119296,2244,66,891,627,721545
"Emre Can Atila",378322,0,0,0,0,88
"Emre Colak",77707,360,0,300,480,212550
"Emre Demir",637669,39,0,13,13,9685
"Emre G<U+00FC>ng<U+00F6>r",26014,384,0,24,0,66000
"Emre G<U+00FC>ral",60004,396,22,440,132,83996
"Emre Kaplan",645932,8,0,0,0,2064
"Emre Karaal",735861,0,0,0,0,35
"Emre Kilinc",208848,621,27,702,675,315630
"Emre Mor",283223,396,22,220,242,131164
"Emre Nasuh",622861,0,0,0,0,26
"Emre Nefiz",217169,184,0,23,69,59064
"Emre Satilmis",363871,0,0,0,0,900
"Emre Tasdemir",204201,234,0,26,182,138008
"Emre Uruc",291701,16,0,0,0,9216
"Emre <U+00D6>zkan",47310,54,0,0,0,21627
"Emre <U+00D6>zt<U+00FC>rk",190576,115,0,0,23,26657
"Emrehan Gedikli",580276,0,0,0,0,600
"Emrullah Salk",64890,108,0,0,0,53460
"Em<U+00ED>dio Rafael",58988,143,0,26,65,35594
"Enda Stevens",85706,350,0,50,125,168550
"Ender Ayg<U+00F6>ren",576990,21,0,0,0,1365
"Endika Irigoyen",458586,0,0,0,0,96
"Endri Cekici",204049,162,18,144,126,73188
"Enea Mihaj",448920,180,0,0,30,75645
"Eneko B<U+00F3>veda",89313,252,0,42,105,182364
"Eneko Capilla",289241,84,0,28,56,32648
"Eneko Jauregi",376589,51,0,17,17,17153
"Enes Dolovac",441689,8,0,0,8,3696
"Enes Durmus",314215,0,0,0,0,1131
"Enes Mahmutovic",329055,81,0,9,0,15507
"Enes Saglik",120306,108,0,216,432,153324
"Enes Sipovic",104219,24,0,0,0,4344
"Enes <U+00DC>nal",251106,812,0,1764,420,407820
"Engin Bekdemir",83943,75,0,200,150,75200
"Enis Bardhi",245014,725,0,625,400,268950
"Enis Bunjaki",261943,0,0,0,6,198
"Enis Gavazaj",226184,0,0,0,0,6480
"Enner Valencia",139503,325,0,925,450,227725
"Enoch Kofi Adu",88239,28,0,0,0,3416
"Enock Kwateng",288241,360,0,36,36,118944
"Enock Mwepu",490307,28,0,42,84,16072
"Enric Franquesa",282700,17,0,0,51,14025
"Enric Gallego",114060,208,16,144,64,63696
"Enric Saborit",85372,126,0,42,42,56070
"Enrico Alfonso",34334,0,0,0,0,8680
"Enrico Baldini",262521,0,0,0,0,17
"Enrico Bearzotti",297731,0,0,0,0,8480
"Enrico Brignola",323147,112,0,56,28,22750
"Enrico Due<U+00F1>as",494283,0,0,0,0,136
"Enrico Valentini",40605,81,0,0,54,37530
"Enver Alivodic",61998,0,0,0,0,551
"Enzo Cornelisse",607164,0,8,0,0,9464
"Enzo Crivelli",291110,1342,44,880,330,314050
"Enzo Ebosse",342877,18,0,0,0,19341
"Enzo Le F<U+00E9>e",633992,88,0,22,88,44154
"Enzo Loiodice",581781,75,0,0,15,18075
"Enzo Maresca",16651,135,0,27,0,61560
"Enzo Mart<U+00ED>nez",578737,81,0,0,9,17910
"Enzo Millot",569366,0,0,0,8,696
"Enzo P<U+00E9>rez",56066,1591,37,37,185,252303
"Enzo Roco",186862,989,23,184,69,294814
"Enzo Zidane",106825,30,0,45,0,10575
"En<U+00E7>a Fati",351978,32,0,48,96,25808
"Eoghan O'Connell",280982,6,0,0,0,2310
"Epaminondas Pantelakis",286533,182,0,28,14,50820
"Eran Zahavi",85093,135,0,891,432,138591
"Erasmo Mul<U+00E8>",392521,0,0,0,0,2520
"Eray Ataseven",176538,250,0,50,50,87400
"Eray Birnican",45212,105,0,0,0,92925
"Eray C<U+00F6>mert",298583,63,0,0,0,16569
"Erce Kardesler",291548,22,0,0,0,13860
"Erdal Kilicaslan",2148,44,0,110,88,37818
"Erdal Rakip",230746,0,0,0,0,1840
"Erdal <U+00D6>zt<U+00FC>rk",170521,0,0,0,0,1700
"Erdem Beytas",455291,0,0,0,0,108
"Erdem Canpolat",521956,9,0,0,0,3240
"Erdem Secgin",461947,0,0,0,0,891
"Erdem Sen",86536,360,0,126,36,145044
"Erdem <U+00D6>zcan",859173,0,0,0,0,158
"Erdem <U+00D6>zgenc",58855,713,31,124,341,241180
"Erdi Dikmen",251078,0,0,0,0,29820
"Erdin Demir",151567,207,0,46,138,206402
"Erdogan Kaya",558720,0,0,0,0,896
"Erdogan Yesilyurt",158946,552,24,216,264,134520
"Erdon Daci",410285,52,0,39,26,18603
"Eren Albayrak",59931,630,0,105,805,381885
"Eren Derdiyok",47543,287,0,1517,451,258423
"Eren Dinkci",645774,0,7,7,0,826
"Eren Elmali",616894,40,0,10,30,26790
"Eren Erdogan",700119,0,0,0,10,4000
"Eren Fansa",873550,0,0,0,0,5
"Eren Kiryolcu",811332,0,0,0,0,56
"Eren Tozlu",136212,377,0,174,58,85318
"Erencan Yardimci",618898,0,0,7,0,189
"Ergin Keles",35509,68,0,34,0,38896
"Ergys Ka<U+00E7>e",173405,1044,29,232,464,306385
"Erg<U+00FC>n Teber",29411,40,0,0,0,22460
"Erhan Celenk",169813,17,0,0,0,5542
"Erhan Kartal",137609,96,0,0,24,25968
"Erhan Masovic",343959,160,0,16,0,36416
"Erhun <U+00D6>zt<U+00FC>mer",326843,42,0,14,28,13370
"Eric Asomani",673977,0,0,0,0,72
"Eric Bailly",286384,1050,50,50,75,322850
"Eric Bauth<U+00E9>ac",111482,550,0,250,175,140675
"Eric Bicfalvi",46504,960,30,2100,510,490590
"Eric Bj<U+00F6>rkander",291816,60,0,20,0,38400
"Eric Botteghin",56601,960,0,540,180,526200
"Eric Dier",175722,1260,0,336,308,733096
"Eric Garc<U+00ED>a",466794,108,9,0,9,48213
"Eric Junior Bocat",740529,21,0,0,0,4599
"Eric Kahl",675278,14,0,14,21,10990
"Eric Lanini",199635,0,0,0,0,2882
"Eric Matoukou",13028,0,0,19,0,8797
"Eric Maxim Choupo-Moting",45660,396,0,1716,957,436755
"Eric Ndizeye",826377,0,0,0,0,175
"Eric Ocansey",380416,323,19,285,133,168587
"Eric Oelschl<U+00E4>gel",152460,21,0,0,0,53781
"Eric Smith",292534,0,0,0,0,1746
"Eric Ti<U+00E9> Bi",60604,54,0,0,0,18702
"Eric Warden",221317,0,7,0,0,2639
"Erick",515638,0,0,0,0,4059
"Erick Cabaco",302991,880,66,66,44,176154
"Erick Ferigra",331501,0,0,0,0,91
"Erick Pulgar",215616,1029,42,378,315,304626
"Ericson",140160,45,0,0,0,7560
"Erik",345861,11,0,0,0,253
"Erik Bakker",56628,240,20,200,100,143960
"Erik Berg",49147,391,0,23,23,144946
"Erik Botheim",418559,9,0,27,18,5958
"Erik Cikos",90354,0,0,0,0,9096
"Erik Cummins",173674,14,0,14,0,17640
"Erik Durm",93922,232,0,87,290,294379
"Erik Exp<U+00F3>sito",483461,0,0,14,0,8176
"Erik Falkenburg",67220,261,0,957,290,329933
"Erik Friberg",49144,48,24,24,24,28224
"Erik Gliha",284608,51,0,0,0,12580
"Erik Israelsson",76085,0,0,28,0,11368
"Erik Jendrisek",41369,288,0,864,36,209016
"Erik Lamela",111630,1666,0,1496,1462,476850
"Erik Majetschak",337083,0,0,0,0,264
"Erik Marxen",94293,962,0,260,442,455520
"Erik Moberg",75637,24,0,0,0,5256
"Erik Mor<U+00E1>n",67542,384,0,24,48,64824
"Erik Palmer-Brown",282199,51,0,17,0,57630
"Erik Pieters",43763,1080,0,90,450,560850
"Erik P<U+00E4>rsson",223870,0,0,0,0,3100
"Erik Quekel",56379,32,0,0,0,9280
"Erik Sabo",155597,375,0,375,100,150600
"Erik Schouten",79194,40,0,60,40,51060
"Erik Sviatchenko",48907,950,50,500,350,482775
"Erik Thommy",156779,280,0,252,448,152012
"Erik Vardanyan",403080,36,0,18,36,8136
"Eriks Santos",550027,0,0,0,0,650
"Erin Pinheiro",395447,0,0,0,0,318
"Erivaldo",290269,17,0,17,0,11084
"Erivelto",229708,6,0,0,6,1266
"Erixon Danso",108709,0,0,0,0,7644
"Erkam Resmen",72128,22,0,0,0,3982
"Erkan Kas",165711,459,54,54,243,159300
"Erkan Zengin",23674,390,0,180,270,137670
"Erkebulan Seydakhmet",468873,26,0,0,0,1651
"Erkut Sent<U+00FC>rk",113747,0,0,13,0,1534
"Erling Haaland",418560,171,0,1786,456,144210
"Erman Kilic",53556,22,0,0,0,2530
"Erman Vardar",656047,0,0,0,0,20
"Ermedin Demirovic",335457,180,0,180,225,45630
"Ermin Bicakcic",51676,667,0,203,116,282402
"Ermin Zec",51350,99,0,429,132,73161
"Ermir Lenjani",66052,87,0,29,29,45124
"Ernest Antwi",359678,56,0,16,8,8704
"Ernest Asante",45622,21,0,378,231,80241
"Ernest Ohemeng",321919,38,0,0,0,27075
"Ernest Poku",718303,0,0,0,4,284
"Ernest Seka",283136,44,11,11,0,23584
"Ernestas Setkus",147028,76,19,0,0,128801
"Ernesto Torregrossa",159883,208,0,208,104,55588
"Erol Can Akdag",414680,11,0,0,11,451
"Eros Grezda",289814,17,0,34,17,11968
"Eros Pisano",56609,270,0,135,0,133407
"Eros Schiavon",23366,92,0,0,0,10603
"Ersan G<U+00FC>l<U+00FC>m",44982,704,0,32,128,179008
"Ersan Yasa",632085,0,0,0,0,30
"Ersin Destanoglu",500091,135,15,0,0,107490
"Ertac <U+00D6>zbir",159079,93,0,0,0,330522
"Erten Ersu",203986,0,0,0,0,9000
"Ertugrul Cetin",654049,0,0,0,0,855
"Ertugrul Ersoy",251079,644,23,92,23,207138
"Ertugrul Furkan",72120,0,0,0,0,540
"Ertugrul Taskiran",91945,248,0,0,0,216101
"Ervin Taha",394330,0,0,0,0,54
"Ervin Zukanovic",44059,1122,33,297,165,417252
"Erving Botaka",448880,44,0,0,0,11814
"Erwan Belhadji",894205,0,0,0,0,87
"Erwin Koffi",341942,0,0,0,14,15246
"Erwin Mulder",56631,315,0,0,0,440475
"Erwin Zelazny",77395,36,0,0,0,27540
"Esma<U+00EB>l Gon<U+00E7>alves",173835,200,20,340,40,75040
"Espen Ruud",24113,42,0,0,21,19845
"Esquerdinha",99495,30,0,45,45,22215
"Esquerdinha",244277,0,0,0,0,795
"Essam Salamoun",380485,0,0,0,0,540
"Essa<U+00EF>d Belkalem",162395,135,0,45,15,28050
"Esteban Alvarado",128502,72,0,0,0,103368
"Esteban Burgos",337922,200,0,80,20,52420
"Esteban Cambiasso",7520,63,0,252,63,117894
"Esteban Granero",44065,1656,36,252,324,343224
"Esteban Rol<U+00F3>n",399887,140,0,0,0,23296
"Esteban Saveljich",240360,76,0,0,0,33326
"Esteban Solari",20905,19,0,19,19,7752
"Estrela",290366,45,0,0,0,24765
"Ethan Ampadu",392771,260,13,0,39,75361
"Ethan Erhahon",463760,90,9,36,27,45513
"Ethan Galbraith",433991,0,0,0,0,6
"Ethan Horvath",242284,19,0,0,0,73530
"Ethan Laird",531679,5,0,0,0,560
"Ethan Pinnock",442248,11,0,11,11,32637
"Ethan Robson",258199,8,0,4,0,2504
"Ethan Ross",512995,0,0,0,0,1442
"Ethem P<U+00FC>lgir",203309,45,0,0,15,9450
"Etien Velikonja",50384,31,0,186,62,40920
"Etienne Amenyido",271103,0,0,18,18,1980
"Etienne Green",696849,8,8,0,0,15352
"Etienne Vaessen",387197,85,0,0,34,84864
"Eti<U+00EB>nne Reijnen",56611,260,0,20,140,205280
"Etrit Berisha",77825,240,0,0,0,448200
"Ettore Gliozzi",209936,0,0,0,0,360
"Etzaz Hussain",141658,90,0,36,18,21222
"Euan Henderson",509247,12,0,24,12,6000
"Euan Smith",192504,0,0,0,4,360
"Euan Spark",200202,3,0,0,0,378
"Eugen Polanski",19548,486,0,189,108,156843
"Eugene Ansah",296681,51,0,17,0,8959
"Eugene Starikov",104203,0,0,28,0,9940
"Eugeni",223073,0,0,0,0,4455
"Eugenio Isnaldo",260801,32,0,0,16,14688
"Eugenio Lamanna",85240,0,0,0,0,120663
"Eunan O'Kane",61583,45,0,0,30,18900
"Evaldo",25106,189,0,63,63,121380
"Evan Ferguson",648046,0,0,0,4,344
"Evan Ndicka",371149,450,18,180,162,214434
"Evander",323874,288,16,496,320,141488
"Evander Sno",34382,0,0,0,11,737
"Evandro",53359,189,27,189,54,72900
"Evangelos Patoulidis",375718,0,0,0,0,1505
"Evanilson",711337,66,0,187,55,33154
"Evann Guessand",500689,21,0,7,21,2954
"Evans Kangwa",212415,342,0,414,216,157050
"Evans Mensah",359380,0,0,0,13,6552
"Evariste Ngolok",62749,21,0,105,21,32781
"Evens Joseph",593320,0,0,0,10,3120
"Everon Pisas",275882,20,0,30,10,15210
"Everson Lima",125291,3,0,0,0,339
"Evert Linthorst",361112,70,0,56,14,30310
"Everton",430121,12,0,12,6,6000
"Everton Luiz",75076,425,0,0,25,52750
"Evgeni Ezhov",170611,0,0,0,0,450
"Evgeni Odintsov",91376,0,0,0,0,2150
"Evgeniy Alferov",262711,0,0,0,0,450
"Evgeniy Balyajkin",48491,260,0,0,52,59670
"Evgeniy Bashkirov",104200,264,24,48,48,109104
"Evgeniy Bolotov",575408,0,0,0,0,40
"Evgeniy Chabanov",449585,0,0,14,0,3346
"Evgeniy Cherkes",582343,0,0,0,0,20
"Evgeniy Chernov",187024,322,0,23,322,247411
"Evgeniy Frolov",177350,78,0,0,0,85020
"Evgeniy Gapon",88610,234,0,0,26,90324
"Evgeniy Gorodov",38681,280,0,0,28,363888
"Evgeniy Goshev",363010,0,0,0,0,1920
"Evgeniy Kharin",193464,432,0,144,216,141072
"Evgeniy Konyukhov",117925,22,0,0,0,60676
"Evgeniy Lutsenko",38801,504,0,1176,532,335860
"Evgeniy Makeev",63149,403,0,0,62,151745
"Evgeniy Markov",166737,399,19,418,152,96463
"Evgeniy Osipov",107218,168,0,48,24,78360
"Evgeniy Pesegov",98556,72,0,0,0,30762
"Evgeniy Pomazan",55396,30,0,0,0,28350
"Evgeniy Ragulkin",615378,0,0,0,0,1530
"Evgeniy Shikavka",228087,32,0,32,0,15488
"Evgeniy Shipitsin",25916,21,0,0,0,10920
"Evgeniy Shlyakov",145981,0,0,0,0,10880
"Evgeniy Stukanov",398841,0,0,0,0,1300
"Evgeniy Tatarinov",515078,0,0,0,0,312
"Evgeniy Tyukalov",104643,15,0,0,0,375
"Evren Korkmaz",349796,0,0,0,0,1024
"Evripidis Giakos",99361,231,0,231,210,188013
"Ewan Henderson",447066,6,0,6,12,9642
"Ewandro Costa",288499,0,0,18,36,18450
"Ewerton",149249,175,0,50,0,89600
"Ewerton",214070,256,0,64,112,78384
"Ewoud Pletinckx",491298,77,11,33,11,65879
"Exauc<U+00E9> Ngassaki",489971,0,0,0,0,2
"Exequiel Palacios",401578,80,0,48,48,44544
"Eyal Golasa",111965,180,0,0,0,53580
"Eyj<U+00F3>lfur H<U+00E9>dinsson",50651,0,0,0,0,1218
"Eyob Zambataro",389581,0,0,0,0,1170
"Eyong Enoh",47344,264,44,22,0,87824
"Ey<U+00FC>p T<U+00FC>rkaslan",254368,0,0,0,0,5814
"Ezekiel Henty",242724,78,0,26,26,24700
"Ezequiel Calvente",153739,28,0,0,14,4522
"Ezequiel Garay",35939,960,32,256,128,518976
"Ezequiel Lavezzi",50570,81,0,270,162,68904
"Ezequiel Mu<U+00F1>oz",75127,544,0,34,34,238816
"Ezequiel Ponce",296783,693,42,1071,231,232344
"Ezequiel Rescaldani",164477,24,0,0,0,2952
"Ezequiel Schelotto",119164,527,0,0,248,240219
"Ezgjan Alioski",129604,184,0,69,69,60766
"Ezri Konsa",413403,225,15,90,30,125895
"E<U+00F1>aut Zubikarai",76076,0,0,0,0,58630
"Fabian Benko",337027,0,0,0,0,196
"Fabian Bredlow",187624,0,0,0,0,46598
"Fabian Delph",50362,620,93,217,248,328042
"Fabian Ehmann",290088,0,17,0,0,16065
"Fabian Frei",52595,240,0,120,160,172440
"Fabian Giefer",53408,31,0,0,0,20925
"Fabian Gmeiner",189098,0,0,0,0,30
"Fabian Holland",54846,240,0,0,0,118950
"Fabian Johnson",31041,144,0,540,684,307692
"Fabian Klos",78147,224,32,320,160,140160
"Fabian Kunze",334186,255,0,17,17,44302
"Fabian Lustenberger",42203,578,0,34,68,380358
"Fabian Reese",227102,0,0,0,0,6562
"Fabian Schleusener",229176,20,0,40,20,5400
"Fabian Sch<U+00E4>r",135343,1360,34,442,204,426360
"Fabian Serrarens",192043,46,46,161,46,44367
"Fabian Sporkslede",187601,168,0,0,0,77070
"Fabian de Keijzer",462285,11,0,0,0,13365
"Fabiano",52848,46,23,0,0,108123
"Fabiano",271335,306,0,0,54,83826
"Fabiano Parisi",547985,50,0,0,10,14750
"Fabiano Santacroce",56817,162,0,0,27,29133
"Fabiano Silva",657387,30,0,0,10,11070
"Fabien Antunes",216489,144,0,0,36,60840
"Fabien Audard",5576,0,0,0,0,76
"Fabien Boyer",175635,26,13,0,0,8931
"Fabien Camus",22377,155,62,155,31,107012
"Fabien Centonze",384859,270,0,90,72,131922
"Fabien Farnolle",34937,154,0,0,0,127710
"Fabien Lemoine",56794,1024,32,128,192,350176
"Fabien Robert",51369,0,0,0,0,570
"Fabien Tchenkoua",226290,12,0,0,12,9840
"Fabinho",225693,2079,0,1053,594,774981
"Fabinho",292749,51,0,68,17,24990
"Fabinho",661284,18,6,0,0,3858
"Fabio",95261,18,0,0,0,9936
"Fabio Abreu",292398,28,0,182,42,34818
"Fabio Borini",96754,1024,32,992,512,399264
"Fabio Ceravolo",35743,30,0,60,0,42390
"Fabio Coltorti",10250,0,0,0,0,2700
"Fabio Daprel<U+00E0>",66109,198,0,0,0,45045
"Fabio Della Giovanna",291392,0,0,0,0,442
"Fabio Depaoli",324282,680,0,20,200,168620
"Fabio Gonz<U+00E1>lez",531062,12,0,0,0,780
"Fabio Lucioni",160561,225,25,75,25,100825
"Fabio Pisacane",101922,702,26,104,52,249210
"Fabio Quagliarella",22328,612,0,3842,986,735284
"Fabi<U+00E1>n Balbuena",285548,144,16,96,16,127088
"Fabi<U+00E1>n Bordagaray",110320,19,0,38,19,10279
"Fabi<U+00E1>n Castillo",131096,21,0,63,84,46746
"Fabi<U+00E1>n Mu<U+00F1>oz",207487,60,0,40,10,14710
"Fabi<U+00E1>n Orellana",60890,2016,72,1404,1440,614448
"Fabi<U+00E1>n Ruiz",350219,483,0,575,506,368000
"Fabri",45882,144,0,0,0,388188
"Fabrice Fokobo",234449,0,0,0,0,1815
"Fabrice Hartmann",405685,0,0,0,0,9
"Fabrice N'Sakala",86930,1221,33,33,528,520773
"Fabrice Olinga",238291,418,0,132,242,130262
"Fabrice Ondoa",220999,0,0,0,0,37620
"Fabricio Alvarenga",381430,84,0,28,0,19530
"Fabricio Brener",534617,40,0,20,10,15170
"Fabricio Coloccini",6150,116,58,58,0,161385
"Fabrizio Alastra",287871,0,0,0,0,2448
"Fabrizio Brignani",355791,0,0,0,0,2160
"Fabrizio Cacciatore",85605,672,84,140,308,320740
"Fabrizio Caligara",386574,15,0,0,0,300
"Fabrizio Poli",124173,130,0,0,0,22100
"Fabry Castro",260741,252,0,12,12,60348
"Fabr<U+00ED>cio",173617,140,0,420,160,114560
"Fabr<U+00ED>cio Baiano",282513,609,0,21,63,141141
"Fabr<U+00ED>cio Isidoro",512127,66,0,22,0,17391
"Facundo Bertoglio",107525,465,31,527,589,222704
"Facundo Colidio",491705,72,0,36,108,26628
"Facundo Ferreyra",93795,624,0,1440,240,204168
