"book","price","author","rating","muadmu","descriptions"
"ภาษาจักรวาล : ประวัติย่อของคณิตศาสตร์","264.00 บาท","อาจวรงค์ จันทมาศ","3 โหวต","หนังสือบทความ สารคดี","คณิตศาสตร์เป็นวิชาที่หลายคนอาจไม่ชอบ เวลาเรียนอาจจะง่วง เวลาใกล้สอบอาจรู้สึกเจ็บป่วย ส่วนหนึ่งเพราะไม่เข้าใจที่มาที่ไปของวิชานี้ว่ามันมีประโยชน์อย่างไร และเกี่ยวข้องกับชีวิตประจำวันอย่างไร ผมจึงตั้งใจเขียนหนังสือเล่มนี้ขึ้นมาเพื่อตอบโจทย์ดังกล่าว ให้คนที่เกี่ยวข้องกับการเรียนการสอนและบุคคลทั่วไปที่สนใจ อ่านแล้วเห็นภาพรวมของวิชานี้มากขึ้นแบบเข้าใจง่ายๆ "
"EMOTIONAL FIRST AID ซ่อมแซมสุขที่สึกหรอ","263.20 บาท","กาย วินช์ (Guy Winch)","5 โหวต","จิตวิทยา การพัฒนาตัวเอง"," "
"INTO THE MAGIC SHOP เราทุกคนล้วนมีร้านเวทมนตร์อยู่ในใจ","196.00 บาท","ดร.เจมส์ อาร์. โดตี(James R. Doty, M.D.)","211 โหวต","จิตวิทยา การพัฒนาตัวเอง","เรื่องราวของ จิม โดตี้ เด็กชายที่เติบโตในทะเลทรายของแคลิฟอร์เนีย ในครอบครัวที่ผุพัง พ่อติดเหล้า แม่เป็นโรคซึมเศร้าและอัมพาต ในวันหนึ่งที่ชีวิตมืดแปดด้าน เด็กชายจิมในวัย 12 ปี เดินเข้าไปในร้านขายของมายากลแห่งหนึ่งเพื่อซึ้อปลอกนิ้วพลาสติก แต่กลับได้พบกับผู้หญิงคนหนึ่งนามว่า ""รูธ"" ผู้สอนเทคนิคให้เขาก้าวข้ามความเจ็บปวด และใช้พลังของสมองและหัวใจเปลี่ยนชีวิตให้พบสิ่งมหัศจรรย์ จนจิมได้กลายมาเป็นศาสตราจารย์และแพทย์ที่มีชื่อเสียง ของมหาวิทยาลัยสแตนฟอร์ด เมื่อสมองและหัวใจสอดประสาน ปาฏิหาริย์ใดก็เป็นจริงได้"
"The Why Cafe' คาเฟ่สำหรับคนหลงทาง","183.20 บาท","จอห์น พี. สเตรเลกกี","46 โหวต","จิตวิทยา การพัฒนาตัวเอง","The Why Cafe' หนังสือแห่งแรงบันดาลใจยอดเยี่ยมที่ได้รับคำชมมากมาย ได้รับการแปลไปกว่า 41 ภาษาทั่วโลก จนได้รับการขนานนามว่าเป็น The Alchemist แห่งศตวรรษที่ 21"
"ศิลปะการอยู่ร่วมกับคนเฮงซวย (ปกใหม่)","212.00 บาท","โรเบิร์ต ไอ. ซัตตัน (Robert Sutton)","1 โหวต","จิตวิทยา การพัฒนาตัวเอง",NA
"ชีวิตเราไม่ได้ยืนยาวพอที่จะอยู่อย่างอดทน","200.00 บาท","ซูซูกิ ยูซึเกะ","4 โหวต","จิตวิทยา การพัฒนาตัวเอง",NA
"มหาศึกคนชนเทพ 16 (Mg)","132.00 บาท","อาจิจิกะ","0 โหวต","การ์ตูน",NA
"กาลครั้งหนึ่ง...ถึงเธอ (พิมพ์ครั้งที่ 2)","212.00 บาท","นักสะสมผีเสื้อ","1 โหวต","วรรณกรรม","ในหนังสือเล่มนี้มีเมล็ดพันธุ์ของดอกไม้ไร้ชื่ออยู่หนึ่งดอก ขึ้นอยู่กับว่าผู้อ่านอยากให้เติบโตเป็นดอกไม้อะไร และเมื่ออ่านจวนจบประโยคสุดท้าย ก็จะมีดอกไม้ที่สวยงามผลิบานเพิ่มขึ้นในโลกนี้อีกหนึ่งดอก ผลิบานในทิศทางของตัวเอง ผลิบานด้วยวิถีของชีวิต ความคิดสร้างสรรค์ ความรัก ความเชื่อมั่น และความหวังที่ไม่มีสิ้นสุด ผลิบานด้วยการตกตะกอนทุกตัวอักษรแล้วบันทึกสิ่งดีงามไว้ในหัวใจ แม้เวลาผ่านไปนานเท่าไร ความรู้สึกนับล้านเหล่านั้นที่เคยเกิดขึ้นกับเรา กับเขา และกับทุกอย่างจะสะท้อนกลับมาให้เราได้นึกถึง ตัวอักษรเหล่านี้จะไม่มีวันตาย มันจะผลิบานอยู่อย่างนี้ตลอดไป ผลิบานด้วยวิถีของความรัก ความผูกพัน ความคิดถึง ความโหยหา และความหวังที่ไม่สมหวังที่ถูกโอบกอดเก็บไว้ข้างในใจเหล่านี้"
"คุณอาเรียโต๊ะข้างๆ พูดรัสเซียหวานใส่ซะหัวใจจะวาย เล่ม 2 (LN)","236.00 บาท","ซันซันซัน","2 โหวต","นิยาย","“ชะ...ชอบ? ชอบเหรอ เอ๊ะ? ไม่ใช่สักหน่อย ไม่ใช่น้าาาา~!”
“ทำมาเป็น~ ‘ฉันจะเป็นกำลังให้เอง’ โอ๊ย~เรานี่มันน่าขนลุก สะเหล่อ!”
จากเหตุการณ์ลับที่รู้กันสองคนซึ่งเกิดขึ้นในสวนโรงเรียนยามอาทิตย์อัสดง
ทั้งอาเรียและมาซาจิกะต่างกลุ้มใจกันทั้งคู่
แต่ทั้งสองก็ได้สัญญาแล้วว่าจะจับคู่กันเพื่อลงชิงชัยในสนามเลือกตั้งประธานนักเรียน"
"ร้านไม่สะดวกซื้อของคุณทกโก","236.00 บาท","คิมโฮย็อน","27 โหวต","วรรณกรรม","""ร้านสะดวกซื้อเป็นสถานที่ที่ผู้คนมากหน้าหลายตาเดินเข้าออก
มันคือสถานที่ที่ทุกคน ไม่ว่าลูกค้าหรือพนักงานจะหยุดอยู่ชั่วครู่
ก่อนจะเดินต่อไป เป็นดังปั๊มน้ำมันที่แวะมาเพื่อเติมให้เต็ม ที่นี่...
ผมไม่ได้แค่มาเติมน้ำมันเท่านั้น แต่มาซ่อมรถด้วย เมื่อซ่อมเสร็จ
แล้วก็ต้องออกเดินทางต่อ"""
